AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2015-16,40,6.6,6.2,6.3,14,"3,206","51,092",> 100%
National,,All,2015-16,41,6.7,6.3,6.3,7,"3,145","50,034",> 100%
National,,All,2015-16,42,6.8,6.4,6.4,16,"3,227","50,925",> 100%
National,,All,2015-16,43,6.9,6.5,6.3,17,"3,170","50,479",> 100%
National,,All,2015-16,44,7,6.6,6.6,20,"3,355","51,174",> 100%
National,,All,2015-16,45,7.1,6.7,6.4,14,"3,228","50,746",> 100%
National,,All,2015-16,46,7.2,6.8,6.5,13,"3,357","51,810",> 100%
National,,All,2015-16,47,7.3,6.9,6.5,14,"3,337","51,491",> 100%
National,,All,2015-16,48,7.4,7,6.7,22,"3,461","52,063",> 100%
National,,All,2015-16,49,7.5,7.1,6.6,20,"3,537","53,748",> 100%
National,,All,2015-16,50,7.6,7.2,6.7,26,"3,482","52,267",> 100%
National,,All,2015-16,51,7.7,7.3,6.7,15,"3,535","53,204",> 100%
National,,All,2015-16,52,7.8,7.4,7.5,31,"3,924","52,602",> 100%
National,,All,2015-16,1,7.9,7.5,7.7,32,"4,245","55,843",> 100%
National,,All,2015-16,2,8,7.6,7.8,30,"4,283","55,577",> 100%
National,,All,2015-16,3,8,7.6,7.4,36,"4,048","55,219",> 100%
National,,All,2015-16,4,8.1,7.7,7.5,50,"4,116","55,663",> 100%
National,,All,2015-16,5,8.1,7.7,7.5,61,"4,086","55,136",> 100%
National,,All,2015-16,6,8.1,7.7,7.4,93,"3,990","55,458",> 100%
National,,All,2015-16,7,8.1,7.7,7.5,149,"4,051","56,168",> 100%
National,,All,2015-16,8,8.1,7.7,8,187,"4,232","55,198",> 100%
National,,All,2015-16,9,8.1,7.7,8.1,257,"4,250","55,920",> 100%
National,,All,2015-16,10,8,7.6,8.1,294,"4,286","56,206",> 100%
National,,All,2015-16,11,8,7.6,8.3,351,"4,154","54,583",> 100%
National,,All,2015-16,12,7.9,7.5,8.2,295,"4,194","54,808",> 100%
National,,All,2015-16,13,7.8,7.4,7.7,282,"3,896","53,938",> 100%
National,,All,2015-16,14,7.7,7.4,7.8,250,"3,945","54,067",> 100%
National,,All,2015-16,15,7.6,7.3,7.6,196,"3,891","53,490",> 100%
National,,All,2015-16,16,7.5,7.2,7.2,148,"3,684","53,149",> 100%
National,,All,2015-16,17,7.4,7,6.9,127,"3,398","51,027",> 100%
National,,All,2015-16,18,7.3,6.9,6.8,91,"3,403","51,270",> 100%
National,,All,2015-16,19,7.2,6.8,6.5,74,"3,240","51,000",> 100%
National,,All,2015-16,20,7.1,6.7,6.6,34,"3,290","50,469",> 100%
National,,All,2015-16,21,6.9,6.6,6.4,30,"3,198","50,490",> 100%
National,,All,2015-16,22,6.8,6.4,6.1,17,"3,025","49,712",> 100%
National,,All,2015-16,23,6.7,6.3,6.4,17,"3,175","49,917",> 100%
National,,All,2015-16,24,6.6,6.2,5.9,18,"2,920","49,910",> 100%
National,,All,2015-16,25,6.5,6.1,5.8,12,"2,875","49,623",> 100%
National,,All,2015-16,26,6.4,6,5.9,10,"2,914","49,746",> 100%
National,,All,2015-16,27,6.3,5.9,5.9,10,"2,914","49,698",> 100%
National,,All,2015-16,28,6.2,5.9,5.9,6,"2,926","49,637",> 100%
National,,All,2015-16,29,6.2,5.8,5.6,5,"2,767","49,276",> 100%
National,,All,2015-16,30,6.1,5.8,5.7,5,"2,804","49,698",> 100%
National,,All,2015-16,31,6.1,5.7,5.8,2,"2,847","49,506",> 100%
National,,All,2015-16,32,6.1,5.7,5.7,2,"2,827","49,741",> 100%
National,,All,2015-16,33,6.1,5.7,5.8,5,"2,866","49,809",> 100%
National,,All,2015-16,34,6.1,5.7,5.7,6,"2,827","49,512",> 100%
National,,All,2015-16,35,6.1,5.7,5.8,5,"2,869","49,579",> 100%
National,,All,2015-16,36,6.1,5.7,5.8,5,"2,881","50,080",> 100%
National,,All,2015-16,37,6.1,5.8,6.2,8,"3,093","49,923",> 100%
National,,All,2015-16,38,6.2,5.8,6.1,9,"3,017","49,881",> 100%
National,,All,2015-16,39,6.3,5.9,6,11,"2,985","50,255",> 100%
National,,All,2016-17,40,6.3,6,5.9,18,"3,022","51,404",> 100%
National,,All,2016-17,41,6.4,6.1,6.1,11,"3,193","52,128",> 100%
National,,All,2016-17,42,6.5,6.2,6.2,7,"3,178","51,441",> 100%
National,,All,2016-17,43,6.6,6.3,6.1,17,"3,130","51,865",> 100%
National,,All,2016-17,44,6.7,6.4,6,16,"3,100","51,743",> 100%
National,,All,2016-17,45,6.8,6.5,6.1,19,"3,209","52,533",> 100%
National,,All,2016-17,46,6.9,6.6,6,7,"3,192","53,453",> 100%
National,,All,2016-17,47,7.1,6.7,6.2,22,"3,257","53,162",> 100%
National,,All,2016-17,48,7.2,6.8,6.5,34,"3,515","54,594",> 100%
National,,All,2016-17,49,7.3,6.9,6.6,33,"3,616","55,148",> 100%
National,,All,2016-17,50,7.4,7,6.8,46,"3,780","56,002",> 100%
National,,All,2016-17,51,7.5,7.1,6.8,92,"3,738","56,732",> 100%
National,,All,2016-17,52,7.5,7.2,7.4,157,"4,105","57,615",> 100%
National,,All,2016-17,1,7.6,7.2,8.1,289,"4,558","59,763",> 100%
National,,All,2016-17,2,7.7,7.3,8,368,"4,505","60,980",> 100%
National,,All,2016-17,3,7.7,7.4,8.4,373,"4,621","59,293",> 100%
National,,All,2016-17,4,7.8,7.4,8.3,367,"4,426","58,047",> 100%
National,,All,2016-17,5,7.8,7.4,8.2,351,"4,452","58,432",> 100%
National,,All,2016-17,6,7.8,7.5,8.2,419,"4,447","59,038",> 100%
National,,All,2016-17,7,7.8,7.5,8.5,545,"4,419","58,479",> 100%
National,,All,2016-17,8,7.8,7.4,8.5,605,"4,369","58,288",> 100%
National,,All,2016-17,9,7.8,7.4,8.4,534,"4,260","57,256",> 100%
National,,All,2016-17,10,7.7,7.4,8.2,472,"4,223","57,477",> 100%
National,,All,2016-17,11,7.7,7.3,7.9,376,"4,099","56,656",> 100%
National,,All,2016-17,12,7.6,7.3,7.7,319,"4,091","57,045",> 100%
National,,All,2016-17,13,7.6,7.2,7.6,333,"3,887","55,703",> 100%
National,,All,2016-17,14,7.5,7.1,7.4,266,"3,821","55,160",> 100%
National,,All,2016-17,15,7.4,7,7.3,208,"3,775","54,861",> 100%
National,,All,2016-17,16,7.3,6.9,6.9,162,"3,489","53,070",> 100%
National,,All,2016-17,17,7.2,6.8,6.7,90,"3,458","53,295",> 100%
National,,All,2016-17,18,7.1,6.7,6.4,63,"3,308","52,657",> 100%
National,,All,2016-17,19,6.9,6.6,6.3,50,"3,216","51,985",> 100%
National,,All,2016-17,20,6.8,6.5,6.2,53,"3,201","52,480",> 100%
National,,All,2016-17,21,6.7,6.4,6.1,24,"3,091","50,972",> 100%
National,,All,2016-17,22,6.6,6.2,5.9,23,"3,019","51,256",> 100%
National,,All,2016-17,23,6.5,6.1,6.1,17,"3,127","51,418",> 100%
National,,All,2016-17,24,6.4,6,6.1,19,"3,069","50,797",> 100%
National,,All,2016-17,25,6.3,5.9,5.9,15,"2,981","51,195",> 100%
National,,All,2016-17,26,6.2,5.8,5.9,10,"2,954","50,617",> 100%
National,,All,2016-17,27,6.1,5.7,5.6,18,"2,823","50,959",> 100%
National,,All,2016-17,28,6,5.7,6.1,4,"3,047","49,973",> 100%
National,,All,2016-17,29,6,5.6,5.5,10,"2,754","50,127",> 100%
National,,All,2016-17,30,5.9,5.6,5.8,3,"2,853","49,362",> 100%
National,,All,2016-17,31,5.9,5.5,5.4,4,"2,695","50,087",> 100%
National,,All,2016-17,32,5.8,5.5,5.4,6,"2,722","50,237",> 100%
National,,All,2016-17,33,5.8,5.5,5.4,11,"2,689","50,185",> 100%
National,,All,2016-17,34,5.8,5.5,5.6,7,"2,755","49,517",> 100%
National,,All,2016-17,35,5.8,5.5,5.4,7,"2,714","50,832",> 100%
National,,All,2016-17,36,5.9,5.5,5.6,12,"2,824","50,981",> 100%
National,,All,2016-17,37,5.9,5.5,5.9,7,"3,021","51,694",> 100%
National,,All,2016-17,38,6,5.6,5.8,16,"2,935","51,230",> 100%
National,,All,2016-17,39,6,5.7,5.7,19,"2,888","51,343",> 100%
National,,All,2017-18,40,6.1,5.7,5.8,16,"3,022","52,110",> 100%
National,,All,2017-18,41,6.2,5.8,5.9,18,"3,001","51,578",> 100%
National,,All,2017-18,42,6.3,5.9,6.1,28,"3,156","52,228",> 100%
National,,All,2017-18,43,6.3,6,6.3,23,"3,279","52,548",> 100%
National,,All,2017-18,44,6.4,6.1,6.1,36,"3,214","53,679",> 100%
National,,All,2017-18,45,6.5,6.2,6.1,45,"3,178","53,258",> 100%
National,,All,2017-18,46,6.6,6.3,6.3,50,"3,315","53,771",> 100%
National,,All,2017-18,47,6.8,6.4,6,48,"3,201","54,120",> 100%
National,,All,2017-18,48,6.9,6.5,6.5,83,"3,492","54,760",> 100%
National,,All,2017-18,49,7,6.6,6.6,118,"3,527","55,595",> 100%
National,,All,2017-18,50,7,6.7,6.8,165,"3,757","57,370",> 100%
National,,All,2017-18,51,7.1,6.8,7.3,359,"3,983","59,505",> 100%
National,,All,2017-18,52,7.2,6.9,8.3,670,"4,417","61,090",> 100%
National,,All,2017-18,1,7.3,6.9,9.6,"1,163","5,158","66,118",> 100%
National,,All,2017-18,2,7.3,7,10.5,"1,537","5,582","67,484",> 100%
National,,All,2017-18,3,7.4,7.1,10.9,"1,626","5,401","64,638",> 100%
National,,All,2017-18,4,7.4,7.1,10.6,"1,448","5,176","62,756",> 100%
National,,All,2017-18,5,7.5,7.1,10.2,"1,359","4,874","60,956",> 100%
National,,All,2017-18,6,7.5,7.1,9.7,"1,241","4,682","61,094",> 100%
National,,All,2017-18,7,7.5,7.1,9.7,"1,178","4,594","59,762",> 100%
National,,All,2017-18,8,7.5,7.1,9.2,891,"4,423","57,773",> 100%
National,,All,2017-18,9,7.5,7.1,8.4,739,"4,042","56,667",> 100%
National,,All,2017-18,10,7.4,7.1,8,507,"4,063","57,081",> 100%
National,,All,2017-18,11,7.4,7,7.6,443,"3,855","56,309",> 100%
National,,All,2017-18,12,7.3,7,7.4,346,"3,788","55,744",> 100%
National,,All,2017-18,13,7.2,6.9,7.4,283,"3,778","54,898",> 100%
National,,All,2017-18,14,7.2,6.8,7.2,300,"3,694","55,275",> 100%
National,,All,2017-18,15,7.1,6.7,6.9,213,"3,593","55,199",> 100%
National,,All,2017-18,16,7,6.6,6.6,152,"3,425","54,006",> 100%
National,,All,2017-18,17,6.9,6.5,6.5,119,"3,390","53,686",> 100%
National,,All,2017-18,18,6.8,6.4,6.1,106,"3,192","53,677",> 100%
National,,All,2017-18,19,6.7,6.3,5.9,53,"3,026","52,055",> 100%
National,,All,2017-18,20,6.6,6.2,5.9,43,"2,945","50,557",> 100%
National,,All,2017-18,21,6.4,6.1,5.8,26,"2,942","50,809",> 100%
National,,All,2017-18,22,6.3,6,5.7,26,"2,899","50,985",> 100%
National,,All,2017-18,23,6.2,5.9,5.6,14,"2,897","51,946",> 100%
National,,All,2017-18,24,6.1,5.8,5.7,14,"2,935","51,332",> 100%
National,,All,2017-18,25,6,5.7,5.6,7,"2,859","50,988",> 100%
National,,All,2017-18,26,5.9,5.6,5.6,9,"2,861","50,798",> 100%
National,,All,2017-18,27,5.8,5.5,5.4,10,"2,763","51,619",> 100%
National,,All,2017-18,28,5.8,5.4,5.4,5,"2,776","51,115",> 100%
National,,All,2017-18,29,5.7,5.4,5.4,8,"2,700","50,541",> 100%
National,,All,2017-18,30,5.7,5.3,5.4,14,"2,691","50,200",> 100%
National,,All,2017-18,31,5.6,5.3,5.3,4,"2,657","50,558",> 100%
National,,All,2017-18,32,5.6,5.3,5.3,10,"2,664","50,872",> 100%
National,,All,2017-18,33,5.6,5.2,5.2,5,"2,607","50,186",> 100%
National,,All,2017-18,34,5.6,5.2,5.4,10,"2,702","50,367",> 100%
National,,All,2017-18,35,5.6,5.2,5.2,6,"2,621","50,492",> 100%
National,,All,2017-18,36,5.6,5.3,5.5,6,"2,732","50,190",> 100%
National,,All,2017-18,37,5.6,5.3,5.4,9,"2,747","50,987",> 100%
National,,All,2017-18,38,5.7,5.3,5.5,11,"2,806","51,450",> 100%
National,,All,2017-18,39,5.7,5.4,5.5,14,"2,796","50,808",> 100%
National,,All,2018-19,40,5.8,5.5,5.7,10,"2,944","52,194",> 100%
National,,All,2018-19,41,5.9,5.6,5.5,12,"2,844","51,585",> 100%
National,,All,2018-19,42,6,5.6,5.6,18,"2,956","52,739",> 100%
National,,All,2018-19,43,6.1,5.7,5.7,24,"3,037","53,478",> 100%
National,,All,2018-19,44,6.2,5.8,5.6,24,"2,958","52,983",> 100%
National,,All,2018-19,45,6.3,5.9,5.6,29,"2,943","52,610",> 100%
National,,All,2018-19,46,6.4,6,5.8,25,"3,067","53,651",> 100%
National,,All,2018-19,47,6.5,6.1,5.8,31,"3,092","53,715",> 100%
National,,All,2018-19,48,6.6,6.2,6,35,"3,184","53,829",> 100%
National,,All,2018-19,49,6.7,6.4,6.1,54,"3,238","54,245",> 100%
National,,All,2018-19,50,6.8,6.4,6.3,48,"3,371","54,169",> 100%
National,,All,2018-19,51,6.9,6.5,6.2,85,"3,286","54,035",> 100%
National,,All,2018-19,52,7,6.6,6.6,123,"3,360","52,716",> 100%
National,,All,2018-19,1,7,6.7,6.9,180,"3,417","51,819",> 100%
National,,All,2018-19,2,7.1,6.8,7.3,222,"3,433","50,075",> 100%
National,,All,2018-19,3,7.2,6.8,7.4,205,"3,485","49,977",> 100%
National,,All,2018-19,4,7.2,6.9,7.1,218,"3,112","47,222",99.2%
National,,All,2018-19,5,7.3,6.9,7.2,236,"2,964","44,743",94%
National,,All,2018-19,6,7.3,6.9,7,205,"2,263","35,492",74.6%
